date,consumption
5/15/2023,6864.89
5/16/2023,7834.94
5/17/2023,7643.61
5/18/2023,7345.59
5/19/2023,7526.03
5/20/2023,6726.39
5/21/2023,4736.48
5/22/2023,6319.65
5/23/2023,6997.79
5/24/2023,5968.95
5/25/2023,6000.63
5/26/2023,4537.73
5/27/2023,4306.12
5/28/2023,4252.42
5/29/2023,6000.69
5/30/2023,6916.55
5/31/2023,6657.1
6/1/2023,6785.43
6/2/2023,7211.45
6/3/2023,4838.16
6/4/2023,4239.31
6/5/2023,5810.67
6/6/2023,6460.4
6/7/2023,6322.7
6/8/2023,4872.04
6/9/2023,4363.14
6/10/2023,3987.51
6/11/2023,4168.72
6/12/2023,5937.8
6/13/2023,6628.5
6/14/2023,7198.42
6/15/2023,6878.64
6/16/2023,6416.41
6/17/2023,4787.66
6/18/2023,4139.88
6/19/2023,5827.19
6/20/2023,6482.63
6/21/2023,6207.45
6/22/2023,6398.73
6/23/2023,4748.25
6/24/2023,4386.09
6/25/2023,4791.29
6/26/2023,6071.67
6/27/2023,6302.81
6/28/2023,6535.57
6/29/2023,6612.75
6/30/2023,6437.15
7/1/2023,4401.33
7/2/2023,3639.49
7/3/2023,5805.66
7/4/2023,6667.88
7/5/2023,6827.13
7/6/2023,6979.49
7/7/2023,7235.36
7/8/2023,4466.78
7/9/2023,3660.13
7/10/2023,5680.12
7/11/2023,6671.08
7/12/2023,6596.69
7/13/2023,7186.45
7/14/2023,6902.72
7/15/2023,5666.75
7/16/2023,4781.3
7/17/2023,6086.62
7/18/2023,6448.4
7/19/2023,5585.34
7/20/2023,5591.21
7/21/2023,5793.19
7/22/2023,4415.05
7/23/2023,4064.43
7/24/2023,5324.47
7/25/2023,6388.77
7/26/2023,6498.23
7/27/2023,6520.45
7/28/2023,6692.86
7/29/2023,4868.62
7/30/2023,3580.87
7/31/2023,5655.32
8/1/2023,6697.79
8/2/2023,6832.72
8/3/2023,6341.46
8/4/2023,7223.1
8/5/2023,3452.67
8/6/2023,3351.22
8/7/2023,6318.91
8/8/2023,6937.73
8/9/2023,6610.62
8/10/2023,7961.64
8/11/2023,7640.9
8/12/2023,4397.81
8/13/2023,3387.59
8/14/2023,5726.2
8/15/2023,6893.64
8/16/2023,7580.95
8/17/2023,7928.24
8/18/2023,8491.02
8/19/2023,4467.73
8/20/2023,3253.48
8/21/2023,6567.15
8/22/2023,7447.11
8/23/2023,7716.17
8/24/2023,7962.33
8/25/2023,8894.82
8/26/2023,4293.37
8/27/2023,3138.87
8/28/2023,5428.45
8/29/2023,6029.62
8/30/2023,6141.58
8/31/2023,6529.2
9/1/2023,6264.1
9/2/2023,3633.78
9/3/2023,2833.33
9/4/2023,4895.05
9/5/2023,4225.94
9/6/2023,3813.39
9/7/2023,3205.29
9/8/2023,2964.28
9/9/2023,2753.54
9/10/2023,3690.62
9/11/2023,3884.51
9/12/2023,4143.56
9/13/2023,4189.73
9/14/2023,4248.52
9/15/2023,4077.94
9/16/2023,3011.22
9/17/2023,3231.99
9/18/2023,4493.2
9/19/2023,5052.38
9/20/2023,4993.43
9/21/2023,5200.48
9/22/2023,5181.95
9/23/2023,3358.11
9/24/2023,2991.08
9/25/2023,5018.63
9/26/2023,6095.82
9/27/2023,5640.71
9/28/2023,5421.76
9/29/2023,4507.92
9/30/2023,2968.42
10/1/2023,2764.73
10/2/2023,5113.01
10/3/2023,6215.01
10/4/2023,8060.26
10/5/2023,9893.68
10/6/2023,9626.47
10/7/2023,4579
10/8/2023,3254.51
10/9/2023,8875.85
10/10/2023,10322.41
10/11/2023,10864.81
10/12/2023,5153.18
10/13/2023,3512.54
10/14/2023,3088.26
10/15/2023,3134.94
10/16/2023,10180.3
10/17/2023,11339.08
10/18/2023,11447.42
10/19/2023,10733.12
10/20/2023,9500.82
10/21/2023,4115.62
10/22/2023,3164.66
10/23/2023,9659.84
10/24/2023,10861.01
10/25/2023,9828.02
10/26/2023,9683.2
10/27/2023,10525.7
10/28/2023,5245.26
10/29/2023,3333
10/30/2023,10309.44
10/31/2023,12169.08
11/1/2023,12016.25
11/2/2023,5499.04
11/3/2023,4063.32
11/4/2023,3328.99
11/5/2023,3296.08
11/6/2023,8138.28
11/7/2023,10219.66
11/8/2023,8000.07
11/9/2023,10368.91
11/10/2023,6616.54
11/11/2023,3830.44
11/12/2023,3460.81
11/13/2023,10246.72
11/14/2023,12050.7
11/15/2023,11670.49
11/16/2023,12643.75
11/17/2023,5853.43
11/18/2023,3658.3
11/19/2023,3443.78
11/20/2023,4238.68
11/21/2023,10400.31
11/22/2023,13085.33
11/23/2023,13564.98
11/24/2023,12927.87
11/25/2023,4814.4
11/26/2023,3237.37
11/27/2023,10084.08
11/28/2023,12489.9
11/29/2023,12102.48
11/30/2023,13254
12/1/2023,12983.25
12/2/2023,5261.12
12/3/2023,3523.44
12/4/2023,11426.83
12/5/2023,13214.38
12/6/2023,13130.34
12/7/2023,13453.75
12/8/2023,12472.57
12/9/2023,5320.86
12/10/2023,3906.73
12/11/2023,10183.21
12/12/2023,11575.51
12/13/2023,11324.83
12/14/2023,11475.57
12/15/2023,7111.99
12/16/2023,3619.8
12/17/2023,3495.5
12/18/2023,6042.85
12/19/2023,6447.58
12/20/2023,6761.58
12/21/2023,6031.01
12/22/2023,4721.32
12/23/2023,3555.49
12/24/2023,3457.8
12/25/2023,3677.6
12/26/2023,3696.35
12/27/2023,3662.11
12/28/2023,3748.13
12/29/2023,3667.61
12/30/2023,3439.31
12/31/2023,3282.09
1/1/2024,3432.22
1/2/2024,6510.94
1/3/2024,6054.78
1/4/2024,5334.84
1/5/2024,5372.05
1/6/2024,3450.1
1/7/2024,3698.46
1/8/2024,6366.08
1/9/2024,6337.18
1/10/2024,6355.86
1/11/2024,6150.84
1/12/2024,6644.75
1/13/2024,3602.89
1/14/2024,3597.5
1/15/2024,10782.5
1/16/2024,12092.13
1/17/2024,13470.29
1/18/2024,11057.95
1/19/2024,7455.7
1/20/2024,3864.86
1/21/2024,3808.56
1/22/2024,11471.06
1/23/2024,10296.51
1/24/2024,9175.4
1/25/2024,11222.08
1/26/2024,7462.14
1/27/2024,3702.12
1/28/2024,3603.23
1/29/2024,10605.03
1/30/2024,11795.1
1/31/2024,10802.78
2/1/2024,10968.03
2/2/2024,6655.32
2/3/2024,3801.14
2/4/2024,3845.97
2/5/2024,6641.37
2/6/2024,7032.2
2/7/2024,6821.05
2/8/2024,6821.29
2/9/2024,6818.22
2/10/2024,3967.2
2/11/2024,3946.25
2/12/2024,4241.28
2/13/2024,4108.76
2/14/2024,4272.72
2/15/2024,6289.27
2/16/2024,7062.41
2/17/2024,3814.75
2/18/2024,3787.04
2/19/2024,10103.73
2/20/2024,11349.16
2/21/2024,11644.6
2/22/2024,12275.54
2/23/2024,7895.94
2/24/2024,4016.71
2/25/2024,4082.02
2/26/2024,11949.67
2/27/2024,12545.99
2/28/2024,12982.63
2/29/2024,13272.68
3/1/2024,8765.83
3/2/2024,3924.21
3/3/2024,3923.86
3/4/2024,13170.62
3/5/2024,13003.41
3/6/2024,13076.09
3/7/2024,13174.47
3/8/2024,10246.49
3/9/2024,3934.4
3/10/2024,3924.1
